NPC Data (Special)			Group			Current	Profession	Greet	Join	Event	Event	Event	Event	Event	Event			
374	Sir Vilx of Stone City	0487	0	0	0	0	0	149	0	0	0	0	0	0	0	Docent for the tour 17		
375	Alex the Mentor	0853	0	0	0	0	0	150	0	0	0	0	0	0	0	Docent for the tour 18		
376	Pascal the Mad Mage	0515	0	0	0	0	0	151	0	0	0	0	0	0	0	Docent for the tour 19		
377	Bartholomew Hume	0876	0	0	0	0	0	166	0	0	1276	0	0	0	0	Good Monk promoter	2	
378	Stephan Sand	0925	0	0	0	1074	0	169	0	0	0	0	0	0	0	Evil Monk promoter	8	
379	Lawrence Mark	0940	0	0	0	1104	0	171	0	815	0	0	0	0	0	Good Archer promoter	2	
380	Steagal Snick	nil	0	0	0	0	0	115	0	0	0	0	0	0	0	Evil Archer promoter	14	
381	Leda Rowan	0824	0	0	0	1117	0	175	0	821	0	0	0	0	0	Good Knight promoter	6	
382	Frederick Org	0885	0	0	0	942	0	177	0	1276	0	0	0	0	0	Evil Knight promoter	3	
383	Lysander Sweet	0923	0	0	0	1139	0	179	0	827	0	0	0	0	0	Good Ranger promoter	6	
384	Ebednezer Sower	0903	0	0	0	968	0	181	0	1276	0	0	0	0	0	Evil Ranger promoter	4	
385	Kruella de Main	0790	0	0	0	0	0	187	0	0	0	0	0	0	0	Good Cleric promoter	7	
386	Daedalus Falk	0914	0	0	0	1163	0	189	0	838	0	0	0	0	0	Evil Cleric promoter	5	
387	Thomas Grey	0902	0	0	0	1157	0	191	0	1276	0	0	0	0	0	Good Sorcerer promoter	6	
388	Halfgild Wynac	1493	0	0	0	0	0	193	0	0	0	0	0	0	0	Evil Sorcerer promoter	8	
389	Anthony Green	0921	0	0	0	950	0	195	0	1276	0	0	0	0	0	Good Druid promoter	4	
390	Tor Anwyn	0959	0	0	0	0	0	197	0	0	0	0	0	0	0	Evil Druid promoter	10	
391	Faerie King	0678	0	0	0	0	0	183	0	833	939	0	0	0	0	Faerie King (hunter promo end)		
392	The Oldest Tree	1490	0	0	0	0	0	184	0	834	0	0	0	0	0	The Oldest Tree (Ranger lord end)		
393	Alice Hargreaves	0848	0	0	0	0	0	162	0	805	0	0	0	0	0	Capture/Rescue girl for Paladin 2nd promotion		
394	Bartholomew Hume	0876	0	0	0	0	0	168	0	810	0	0	0	0	0	Bartholomew for dungeon promo event		
395	Golem	1492	0	0	0	0	0	199	0	854	855	0	0	0	0	Golem party gets to construct		
396	Baby Dragon	1494	0	0	0	0	0	284	0	0	0	0	0	0	0	Baby Dragon familiar for Warlock quest		
397	Butler	0906	0	0	0	0	0	200	0	871	0	0	0	0	0	Player Castle		
398	Hothfarr IX	1551	0	0	0	1169	0	202	0	857	0	0	0	0	0	Dwarf King	39	
399	Drathen Keldin	0764	0	0	0	0	0	204	0	0	0	0	0	0	0			
400	Jaycen Keldin	0745	0	0	0	0	0	205	0	0	0	0	0	0	0			
401	Yarrow Keldin	0749	0	0	0	0	0	205	0	0	0	0	0	0	0			
402	Fausil Keldin	0735	0	0	0	0	0	205	0	0	0	0	0	0	0			
403	Red Keldin	0754	0	0	0	0	0	205	0	0	0	0	0	0	0			
404	Thom Keldin	0742	0	0	0	0	0	205	0	0	0	0	0	0	0			
405	Arvin Keldin	0757	0	0	0	0	0	205	0	0	0	0	0	0	0			
406	Ellen Rockway	0791	0	0	0	0	0	206	0	866	0	868	0	0	0	Human Ambassador		
407	Alain Hani	0700	0	0	0	0	0	207	0	870	0	872	0	0	0	Elven Ambassador		
408	Queen Catherine	1534	0	0	0	1169	0	208	0	874	0	0	0	880	0			
409	ElfKing	1543	0	0	0	1169	0	210	0	881	0	0	0	887	0			
410	Loren Steel	0894	0	0	0	0	0	262	0	0	0	0	0	0	0			
411	Fake Loren	0894	0	0	0	0	0	263	0	0	0	0	0	0	0			
412	Messenger	0915	0	0	0	0	0	212	0	0	0	0	0	0	0	Artifact Battle		
413	Judge Grey	1517	0	0	0	1166	0	213	0	888	889	890	0	0	0			
414	Ambassador Wright	0922	0	0	0	0	0	214	0	0	0	0	0	0	0	Wizard Ambassador		
415	Ambassador Scale	0892	0	0	0	0	0	215	0	0	0	0	0	0	0	Necro Ambassador		
416	Judge Fairweather	1536	0	0	0	0	0	219	0	893	0	0	0	0	0	good arbiter (144/139)		
417	Judge Sleen	1548	0	0	0	0	0	216	0	891	0	0	0	0	0	evil arbiter (142/139)		
418	Gavin Magnus	1497	0	0	0	1169	0	222	0	895	1009	0	0	0	0	Wizard Boss		
419	Resurectra	1559	0	0	0	0	0	225	0	897	899	0	0	0	0	Good MM3 Boss	7	
420	Crag Hack	0455	0	0	0	0	0	229	0	901	0	0	0	0	0	Good MM3	7	
421	Sir Caneghem	0456	0	0	0	0	0	232	0	903	0	0	0	0	0	Good MM3	7	
422	Robert the Wise	1556	0	0	0	0	0	235	0	905	0	0	0	0	0	Good MM3	7	
423	Kastore	1558	0	0	0	0	0	237	0	907	909	0	0	0	0	Evil MM3 Boss	8	
424	Maximus	0454	0	0	0	0	0	241	0	911	0	0	0	0	0	Evil MM3	8	
425	Dark Shade	1560	0	0	0	0	0	244	0	913	0	0	0	0	0	Evil MM3	8	
426	Tolberti	1557	0	0	0	0	0	247	0	915	0	0	0	0	0	Evil MM3	8	
427	Archibald Ironfist	1508	0	0	0	1169	0	249	0	917	1012	0	0	0	0	Necro Boss		
428	Temple of Light	1495	0	0	0	316	0	115	0	923	0	0	0	0	0	Dungeon Entrance		
429	Temple of Dark	1495	0	0	0	317	0	115	0	924	0	0	0	0	0	Dungeon Entrance		
430	Messenger	0932	0	0	0	0	0	265	0	0	0	0	0	0	0	Arbiter death		
431	Lady Carmine	0826	0	0	0	0	0	295	0	0	0	0	0	0	0			
432	Tarin Withern	0933	0	0	0	311	0	266	0	929	768	0	0	0	0	Lantern Quest	2	
433	Mazim Dusk	0925	0	0	0	1002	0	268	0	931	0	0	0	0	0	Haldar's Remains Quest	10	
434	Davrik Peladium	0881	0	0	0	945	0	270	0	933	0	0	0	0	0	Davrik's Signet Ring Quest	2	
435	Norbert Thrush	0915	0	0	0	939	0	272	0	935	0	0	0	0	0	Quill	3	
436	Johann Kerrid	0677	0	0	0	960	0	274	0	938	0	0	0	0	0	Faerie Pipes Quest	4	
437	Messenger	0925	0	0	0	0	0	276	0	0	0	0	0	0	0			
438	Niles Stantley	0929	0	0	0	0	0	277	0	941	942	0	0	0	0			
439	Spark Burnkindle	0745	0	0	0	1056	0	278	0	944	0	0	0	0	0	Kill Troggie Quest	23	
440	Ton Withersmythe	0927	0	0	0	1108	0	115	0	950	1065	0	0	0	0	Expert Staff (2)	2	
441	Elsie Pederton	0809	0	0	0	1111	0	115	0	951	1066	0	0	0	0	Master Staff (6)	6	
442	Jillian Mithrit	0666	0	0	0	1016	0	115	0	952	0	0	0	0	0	Grand Master Staff (14)	14	
443	Payge Rivenhill	0821	0	0	0	923	0	115	0	953	0	0	0	0	0	Expert Sword (3)	3	
444	Tugor Slicer	0630	0	0	0	1184	0	115	0	954	1068	0	0	0	0	Master Sword (5)	6	
445	Chadric Townsaver	0931	0	0	0	1122	0	115	0	955	1233	0	0	0	0	Grand Master Sword (2)	2	
446	Mortie Ottin	0947	0	0	0	957	0	115	0	1269	956	1069	0	0	0	Expert Dagger (4)	4	
447	Aznog Slasher	0622	0	0	0	1145	0	115	0	957	1070	0	0	0	0	Master Dagger (10)	10	
448	Tonken Fist	0718	0	0	0	1038	0	115	0	958	1194	0	0	0	0	Grand Master Dagger (13)	23	
449	Turgon Woodsplitter	0747	0	0	0	1122	0	115	0	959	1071	0	0	0	0	Expert Axe (2)	2	
450	Dalin Keenedge	0736	0	0	0	1051	0	115	0	960	1072	0	0	0	0	Master Axe (39)	39	
451	Karn Stonecleaver	0739	0	0	0	1032	0	115	0	961	1194	0	0	0	0	Grand Master Axe (13)	13	
452	Kerin Greydawn	0665	0	0	0	1005	0	115	0	962	1073	0	0	0	0	Expert Spear (13)	13	
453	Claderin Silverpoint	0701	0	0	0	948	0	115	0	963	1074	0	0	0	0	Master Spear (4)	4	
454	Seline Falconeye	0664	0	0	0	1052	0	115	0	964	1188	0	0	0	0	Grand Master Spear (39)	39	
455	Jaycin Suretrail	0693	0	0	0	947	0	115	0	875	1075	0	0	0	0	Expert Bow (4)	4	
456	Lanshee Ravensight	0664	0	0	0	1147	0	115	0	966	1076	0	0	0	0	Master Bow (10)	10	
457	Cardric the Steady	0702	0	0	0	1104	0	115	0	967	1230	0	0	0	0	Grand Master Bow (2)	2	
458	Aldrin Tamloc	0757	0	0	0	1057	0	115	0	968	1077	0	0	0	0	Expert Mace (39)	39	
459	Brother Rothham	0887	0	0	0	1050	0	115	0	969	1078	0	0	0	0	Master Mace (13)	13	
460	Patwin Fellbern	0573	0	0	0	982	0	115	0	970	1239	0	0	0	0	Grand Master Mace (5)	5	
461	Lunius Shador	0954	0	0	0	0	0	309	0	513	514	0	0	0	0	Area 5 Ambusher		
462	Archibald Ironfist	1508	0	0	0	0	0	115	0	0	0	0	0	0	0	Area 12 Archibald		
463	Grand Master Blaster	0965	0	0	0	0	0	115	0	973	0	0	0	0	0	Grand Master Blaster		
464	Poundlin Lotts	0735	0	0	0	929	0	115	0	974	1079	0	0	0	0	Expert Shield (39)	39	
465	Isram Gallowswell	0575	0	0	0	1031	0	115	0	975	1080	0	0	0	0	Master Shield (13)	13	
466	Fedwin Smithson	0895	0	0	0	988	0	115	0	976	1199	0	0	0	0	Grand Master Shield (9)	9	
467	Douglas Iverson	0872	0	0	0	1108	0	115	0	0	977	1081	0	0	0	Exper Leather (2)	2	
468	Rabisa Nedlon	0847	0	0	0	1148	0	115	0	978	1082	0	0	0	0	Master Leather (10)	10	
469	Miyon the Quick	0941	0	0	0	949	0	115	0	979	0	0	0	0	0	Grand Master Leather (4)	4	
470	Gilad Bith	0698	0	0	0	946	0	115	0	980	1083	0	0	0	0	Expert Chain (4)	4	
471	Medwari Dragontracker	0687	0	0	0	1021	0	115	0	981	1084	0	0	0	0	Master Chain (14)	14	
472	Halian Nevermore	0916	0	0	0	979	0	115	0	982	0	0	0	0	0	Grand Master Chain (5)	5	
473	Weldrik Lotts	0738	0	0	0	1040	0	115	0	983	1085	0	0	0	0	Expert Plate (13)	13	
474	Dekian Forgewright	0953	0	0	0	927	0	115	0	984	1086	0	0	0	0	Master Plate (3)	3	
475	Brand the Maker	0952	0	0	0	1118	0	115	0	985	1240	0	0	0	0	Grand Master Plate (6)	6	
476	Kindle Treasurestone	0659	0	0	0	0	0	115	0	0	0	0	0	0	0	Expert Fire_Magic (4)	4	
477	Ashen Temper	0823	0	0	0	954	0	115	0	780	1088	515	0	0	0	Master Fire_Magic (2)	2	
478	Blayze 	0810	0	0	0	1163	0	115	0	988	1171	0	0	0	0	Grand Master Fire_Magic (3)	3	
479	Sethrik Windsong	0683	0	0	0	955	0	115	0	989	1089	0	0	0	0	Expert Air_Magic (4)	4	
480	Rislyn Greenstorm	0671	0	0	0	1017	0	115	0	990	1090	0	0	0	0	Master Air_Magic (14)	14	
481	Gayle	0822	0	0	0	1115	0	115	0	991	0	0	0	0	0	Grand Master Air_Magic (6)	6	
482	Herald Whitecap	0685	0	0	0	956	0	115	0	992	1091	0	0	0	0	Expert Water_Magic (4)	4	
483	Tobren Rainshield	0789	0	0	0	1168	0	115	0	1324	1092	0	0	0	0	Master Water_Magic (10)	10	
484	Torrent	0888	0	0	0	1125	0	115	0	994	1234	0	0	0	0	Grand Master Water_Magic (2)	2	
485	Johanson Kern	0958	0	0	0	1121	0	115	0	995	1093	0	0	0	0	Expert Earth_Magic (2)	2	
486	Lara Stonewright	0670	0	0	0	966	0	115	0	996	1094	0	0	0	0	Master Earth_Magic (4)	4	
487	Avalanche	0638	0	0	0	980	0	115	0	781	0	0	0	0	0	Grand Master Earth_Magic (5)	5	
488	Bertram Stillwater	0937	0	0	0	1103	0	115	0	998	1095	0	0	0	0	Expert Spirit_Magic (2)	2	
489	Heather Dreamwright	0851	0	0	0	1131	0	115	0	999	1096	0	0	0	0	Master Spirit_Magic (3)	3	
490	Benjamin the Balanced	0901	0	0	0	965	0	115	0	1000	1190	0	0	0	0	Grand Master Spirit_Magic (4)	4	
491	Julian the Delver	0905	0	0	0	931	0	115	0	1001	1097	0	0	0	0	Expert Mind_Magic (3)	3	
492	Myles Featherwind	0683	0	0	0	1014	0	115	0	1002	1098	0	0	0	0	Master Mind_Magic (14)	14	
493	Xavier Bremen	0869	0	0	0	1007	0	115	0	1003	1196	0	0	0	0	Grand Master Mind_Magic (13)	13	
494	Straton Hillsman	0884	0	0	0	1102	0	115	0	1004	1099	0	0	0	0	Expert Body_Magic (2)	2	
495	Brother Bombah	0883	0	0	0	1035	0	115	0	1005	1100	0	0	0	0	Master Body_Magic (13)	13	
496	Tempus	0918	0	0	0	1140	0	115	0	1006	1180	0	0	0	0	Grand Master Body_Magic (14)	14	
497	Ethan Lightsworn	0924	0	0	0	1113	0	115	0	1007	1129	0	0	0	0	Expert Light_Magic (6)	6	
498	Helena Morningstar	0860	0	0	0	1060	0	115	0	1008	1130	0	0	0	0	Master Light_Magic (7)	7	
499	Shamus Dawnbringer	0852	0	0	0	0	0	115	0	1009	0	0	0	0	0	Hint NPC		
500	Jasp the Nightcrawler	0781	0	0	0	981	0	115	0	1010	1131	0	0	0	0	Expert Dark_Magic (5)	5	
501	Seth Darkenmore	0826	0	0	0	1073	0	115	0	1011	0	1204	0	0	0	Master Dark_Magic (8)	8	
502	Karlin Arachnia	0917	0	0	0	0	0	115	0	1012	1182	0	0	0	0	Hint NPC		
503	Fenton Krewlen	0910	0	0	0	1107	0	115	0	1013	1101	0	0	0	0	Expert Identify_Item (2)	2	
504	Samuel Benson	0891	0	0	0	1119	0	115	0	1014	1102	0	0	0	0	Master Identify_Item (6)	6	
505	Payge Blueswan	0668	0	0	0	953	0	115	0	1015	1193	0	0	0	0	Grand Master Identify_Item (4)	4	
506	Matric Weatherson	0936	0	0	0	967	0	115	0	1016	1103	0	0	0	0	Expert Merchant (4)	4	
507	Bethold Caverhill	0881	0	0	0	986	0	115	0	1017	1104	0	0	0	0	Master Merchant (9)	9	
508	Brigham the Frugal	0948	0	0	0	1116	0	115	0	1018	1184	0	0	0	0	Grand Master Merchant (6)	6	
509	Shane Thomas	0964	0	0	0	1107	0	115	0	1019	1105	0	0	0	0	Expert Repair_Item (2)	2	
510	Thomas Moore	0868	0	0	0	1049	0	115	0	1020	1106	0	0	0	0	Master Reapir_Item (13)	13	
511	Gareth the Fixer	0951	0	0	0	926	0	115	0	1021	1168	0	0	0	0	Grand Master Repair_Item (3)	3	
512	Kelli Hollyfield	0725	0	0	0	1138	0	115	0	1022	1107	0	0	0	0	Expert Body_building (6)	6	
513	Wanda Foestryke	0704	0	0	0	971	0	115	0	1023	1108	0	0	0	0	Master Body_Building (5)	5	
514	Evandar Thomas	0624	0	0	0	995	0	115	0	1024	1210	0	0	0	0	Grand Master Body_Building (10)	10	
515	Barbara Wiseman	0854	0	0	0	1135	0	115	0	1025	1109	0	0	0	0	Expert Meditation (5)	5	
516	Tessa Greensward	0863	0	0	0	1113	0	115	0	1026	1110	0	0	0	0	Master Meditation (6)	6	
517	Kaine	0684	0	0	0	1141	0	115	0	1027	1181	0	0	0	0	Grand Master Meditation (14)	14	
518	Gregory Weider	0909	0	0	0	1123	0	115	0	1028	1111	0	0	0	0	Expert Perception (2)	2	
519	Garret Dotes	0686	0	0	0	952	0	115	0	1029	1112	0	0	0	0	Master Perception (4)	4	
520	Petra Cleareye	0583	0	0	0	970	0	115	0	1030	1239	0	0	0	0	Grand Master Perception (5)	5	
521	Qillain Laraselle	0702	0	0	0	916	0	306	0	501	0	0	0	0	0	Ore for weapon		
522	Robert Sourbrow	0744	0	0	0	917	0	307	0	502	0	0	0	0	0	Ore for armor		
523	Cloud Agraynel	0846	0	0	0	919	0	308	0	503	0	0	0	0	0	Ore for misc		
524	Expert Thievery	0965	0	0	0	0	0	115	0	1034	0	0	0	0	0	Expert Thievery		
525	Master Thievery	0965	0	0	0	0	0	115	0	1035	0	0	0	0	0	Master Thievery		
526	Grand Master Thievery	0965	0	0	0	0	0	115	0	1036	0	0	0	0	0	Grand Master Thievery		
527	Gretchin Fiddlebone	0652	0	0	0	0	0	115	0	1267	0	0	0	0	0	Expert Lock_Pick (4)	4	
528	Lenord Skinner	0935	0	0	0	1162	0	115	0	1038	1114	0	0	0	0	Master Lock_Pick (2)	2	
529	Silk Quicktoungue	0576	0	0	0	997	0	115	0	1039	1246	0	0	0	0	Grand Master Lock_Pick (10)	10	
530	Sheldon Mist	0773	0	0	0	1101	0	115	0	1040	1115	0	0	0	0	Expert Dodging (2)	2	
531	Oberic Crane	0870	0	0	0	987	0	115	0	1041	1116	0	0	0	0	Master Dodging (9)	9	
532	Kenneth Wain	0929	0	0	0	1132	0	115	0	1042	1169	0	0	0	0	Grand Master Dodging (3)	3	
533	Kira Steeleye	0858	0	0	0	1101	0	115	0	1043	1117	0	0	0	0	Expert Unarmed (2)	2	
534	Ulbrecht the Brawler	0571	0	0	0	987	0	115	0	1044	1118	0	0	0	0	Master Unarmed (9)	9	
535	Norris 	0942	0	0	0	1130	0	115	0	1045	1232	0	0	0	0	Grand Master Unarmed (3)	3	
536	Alton Black	0696	0	0	0	958	0	115	0	1046	1119	0	0	0	0	Expert Identify_Monster (4)	4	
537	Jeni Swiftfoot	0663	0	0	0	1023	0	115	0	1047	1120	0	0	0	0	Master Identify_Monster (14)	14	
538	Raven the Hunter	0919	0	0	0	1123	0	115	0	1048	1231	0	0	0	0	Grand Master Identify_Monster (2)	2	
539	Edgar Botham	0626	0	0	0	975	0	115	0	1049	1121	0	0	0	0	Expert Armsmaster (5)	5	
540	Paula Brightspear	0689	0	0	0	1008	0	115	0	1050	1122	0	0	0	0	Master Armsmaster (14)	14	
541	Lasiter the Slayer	0958	0	0	0	1150	0	115	0	1051	1194	0	0	0	0	Grand Master Armsmaster (12)	12	
542	Peryn Lightfingers	0938	0	0	0	1124	0	115	0	1052	1123	0	0	0	0	Expert Stealing (2)	2	
543	Leane Shadowrunner	0849	0	0	0	973	0	115	0	1053	1124	0	0	0	0	Master Stealing (5)	5	
544	Everil Nightwalker	0699	0	0	0	1027	0	115	0	1054	1196	0	0	0	0	Grand Master Stealing (13)	13	
545	Edgar Willowbark	0694	0	0	0	961	0	115	0	1055	1125	0	0	0	0	Expert Alchemy (4)	4	
546	Elzbet Winterspoon	0808	0	0	0	1144	0	115	0	1056	1126	0	0	0	0	Master Alchemy (10)	10	
547	Lucid Apple	0558	0	0	0	1142	0	115	0	1057	1185	0	0	0	0	Grand Master Alchemy (14)	14	
548	Agatha Putnam	0812	0	0	0	1133	0	115	0	0	1058	1127	0	0	0	Expert Learning (5)	5	
549	Dorothy Senjac	0811	0	0	0	996	0	115	0	1059	1128	0	0	0	0	Master Learning (10)	10	
550	William Smithson	0572	0	0	0	988	0	115	0	1060	1199	0	0	0	0	Grand Master Learning (9)	9	
551	Garic Hawthorne	0904	0	0	0	1149	0	115	0	950	1065	0	0	0	0	Expert Staff (10)	10	
552	Flynn Arin	0950	0	0	0	1043	0	115	0	953	0	0	0	0	0	Expert Sword (13)	13	
553	Smiling Jack	0908	0	0	0	1110	0	115	0	956	1069	0	0	0	0	Expert Dagger (6)	6	
554	Wort Goblinreaver	0565	0	0	0	1022	0	115	0	959	1071	0	0	0	0	Expert Axe (14)	14	
555	Cassandra Holden	0688	0	0	0	1009	0	115	0	962	1073	0	0	0	0	Expert Spear (14)	14	
556	Wil Rudyman	0873	0	0	0	1110	0	115	0	875	1075	0	0	0	0	Expert Bow (6)	6	
557	Norbert Havest	0877	0	0	0	945	0	115	0	968	1077	0	0	0	0	Expert Mace (3)	3	
558	Expert Blaster	0965	0	0	0	0	0	115	0	971	0	0	0	0	0	Expert Blaster		
559	Randal Wolverton	0880	0	0	0	911	0	115	0	974	1079	0	0	0	0	Expert Shield (3)	3	
560	Mikel Deerhunter	0567	0	0	0	1022	0	115	0	977	1081	0	0	0	0	Expert Leather (14)	14	
561	Tricia Steelcoif	0775	0	0	0	1030	0	115	0	980	1083	0	0	0	0	Expert Chain (13)	13	
562	Critias Burnkindle	0739	0	0	0	1056	0	115	0	983	0	0	0	0	0	Expert Plate (13)	13	
563	Lisha Redding	0861	0	0	0	0	0	115	0	986	1087	0	0	0	0	Expert Fire_Magic (13)	13	
564	Kyra Stormeye	0859	0	0	0	1006	0	115	0	989	1089	0	0	0	0	Expert Air_Magic (13)	13	
565	Karla Ravenhair	0651	0	0	0	1015	0	115	0	992	1091	0	0	0	0	Expert Water_Magic (14)	14	
566	Jasper Welman	0744	0	0	0	1053	0	115	0	995	1093	1225	0	0	0	Expert Earth_Magic (39)	39	
567	Solomon Riverstone	0866	0	0	0	989	0	115	0	998	1095	0	0	0	0	Expert Spirit_Magic (13)	13	
568	Helga Whitesky	0808	0	0	0	990	0	115	0	1001	1097	0	0	0	0	Expert Mind_Magic (10)	10	
569	Tristen Hearthsworn	0902	0	0	0	936	0	115	0	1004	1099	0	0	0	0	Expert Body_Magic (3)	3	
570	Celia Sparkmen	0965	0	0	0	0	0	115	0	1007	1129	0	0	0	0	Expert Light_Magic		
571	Blacken Reaverston	0965	0	0	0	0	0	115	0	1010	1131	0	0	0	0	Expert Dark_Magic		
572	Hollis the True	0794	0	0	0	1146	0	115	0	1013	1101	0	0	0	0	Expert Identify_Item (10)	10	
573	Jobber Thain	0760	0	0	0	1054	0	115	0	1016	1103	0	0	0	0	Expert Merchant (39)	39	
574	Balan Gizmo	0742	0	0	0	1055	0	115	0	1019	1105	0	0	0	0	Expert Repair_Item (39)	39	
575	Trip Thorinson	0761	0	0	0	1057	0	115	0	1022	1107	0	0	0	0	Expert Body_Building (39)	39	
576	Stewart Whitesky	0900	0	0	0	990	0	115	0	1025	1109	0	0	0	0	Expert Meditation (10)	10	
577	Kethric Otterton	0695	0	0	0	1009	0	115	0	1028	1111	0	0	0	0	Expert Perception (14)	14	
578	Expert Diplomacy	0965	0	0	0	0	0	115	0	1031	0	0	0	0	0	Expert Diplomacy		
579	Expert Thievery	0965	0	0	0	0	0	115	0	1034	0	0	0	0	0	Expert Thievery		
580	Taren the Lifter	0943	0	0	0	1048	0	115	0	1268	1267	0	0	0	0	Expert Lock_Pick (13)	13	
581	Spyder 	0591	0	0	0	1136	0	115	0	1040	1115	0	0	0	0	Expert Dodging (6)	6	
582	Puddle Stone	0875	0	0	0	1136	0	115	0	1043	1117	0	0	0	0	Expert Unarmed (6)	6	
583	Christie Nosewort	0802	0	0	0	1146	0	115	0	1046	1119	0	0	0	0	Expert Identify_Monster (10)	10	
584	Trent Steele	0574	0	0	0	1025	0	115	0	1049	1121	0	0	0	0	Expert Armsmaster (13)	13	
585	Elmo the Pincher	0815	0	0	0	991	0	115	0	1052	1123	0	0	0	0	Expert Stealing (10)	10	
586	Bryce Watershed	0911	0	0	0	1137	0	115	0	1055	1125	0	0	0	0	Expert Alchemy (6)	6	
587	Issac Applebee	0898	0	0	0	1112	0	115	0	1058	1127	0	0	0	0	Expert Learning (6)	6	
588	Matric Bowes	0957	0	0	0	1105	0	115	0	1154	1220	0	0	0	0	Fire Guild Membership (2)	2	
589	Kethry Dawnsglow	0564	0	0	0	954	0	115	0	1154	1206	0	0	0	0	Fire Guild Membership (4)	4	
590	Lita Roggen	0709	0	0	0	1143	0	115	0	1154	1243	0	0	0	0	Fire Guild Membership (10)	10	
591	Carla Tarent	0585	0	0	0	1105	0	115	0	1152	1236	0	0	0	0	Air Guild Membership (2)	2	
592	Patrice Vespers	0560	0	0	0	955	0	115	0	1152	1194	0	0	0	0	Air Guild Membership (4)	4	
593	Lori Winterbright	0587	0	0	0	1061	0	115	0	1152	1237	0	0	0	0	Air Guild Membership (7)	7	
594	Illene Farswell	0581	0	0	0	1127	0	115	0	1155	1236	1279	0	0	0	Water Guild Membership (2)	2	
595	Tabitha Mistspring	0561	0	0	0	956	0	115	0	1155	1194	0	0	0	0	Water Guild Membership (4)	4	
