A Bit	Awards	Sort	Notes
184	Drank from the Fountain of Magic	12	Wizard
185	Retrieved the Crystal of Terrax	12	Master Wizard
186	"Got Knight's nomination"	12	Cavalier
187	Defeated the Warlord	12	Champion
188	Repaired Temple Stone in Free Haven	12	Priest
189	Brought Sacred Chalice to Temple Stone	12	High Priest
190	Visited the Altar of the Sun	12	Great Druid
191	Visited the Altar of the Moon	12	Arch Druid
192	Retrieved the key to the Dragon Towers	12	Warrior Mage
193	Reseted all of the Dragon Towers	12	Battle Mage
194	Returned the Prince	13	
195	Killed Snergle	13	
196	Saved the Mayor of Mist	13	
197	Retrieved the Baa Candelabra	13	
198	Retrieved Andrew's Harp	13	
199	Retrieved Ethric's Skull	13	
200	Killed the Spider Queen	13	
201	Saved the Monolith	13	
202	Gave Bat Guano to Barad	13	
203	Destroyed the Wicked Crystal	13	
204	Rescued Emmanuel	13	
205	Found Zoltan's Artifact	13	
206	Rescued Sharry	13	
207	Rescued Angela	13	
208	Rescued Sherell	13	
209	Broke the Blackshire Curse	13	
210	Killed the Werewolf Leader	13	
211	Solved the Goblinwatch Combination	13	
212	Returned with the Chime of Harmony	13	
213	Retrieved Emil's Egg	13	
214	Placed Twillen's statuettes	13	
215	Aided the Lord of Fire	13	
216	Delivered 6th Letter to Wilbur Humphry	13	
217	Allowed to use the Royal Yacht	13	
218	Destroyed the Book of Liches	13	
219	Super-Goober	13	
220	Solved the Obelisk Puzzle	13	
221	Joined the Elemental Guild in Enroth	14	
222	Joined the Self Guild in Enroth	14	
223	Joined the Buccaneer's Lair Guild	14	
224	Joined the Protection Services Guild	14	
225	Joined the Smugglers' Guild	14	
226	Joined the Blade's End Guild	14	
227	Joined the Duelists' Edge Guild	14	
228	Joined the Berserker's Fury Guild	14	
229	Joined the Air Guild in Enroth	14	
230	Joined the Earth Guild in Enroth	14	
231	Joined the Fire Guild in Enroth	14	
232	Joined the Water Guild in Enroth	14	
233	Joined the Body Guild in Enroth	14	
234	Joined the Mind Guild in Enroth	14	
235	Joined the Spirit Guild in Enroth	14	
236	Joined the Light Guild in Enroth	14	
237	Joined the Dark Guild in Enroth	14	
238	Joined the Self Guild in Jadame	6	
239	Joined the Air Guild in Jadame	6	
240	Joined the Earth Guild in Jadame	6	
241	Joined the Fire Guild in Jadame	6	
242	Joined the Water Guild in Jadame	6	
243	Joined the Body Guild in Jadame	6	
244	Joined the Mind Guild in Jadame	6	
245	Joined the Spirit Guild in Jadame	6	
246	Joined the Light Guild in Jadame	6	
247	Joined the Dark Guild in Jadame	6	
248	Joined the Inner Power Guild in Jadame	6	
249	Joined the Inner Power Guild in Antagarich	10	
250	Joined the Inner Power Guild in Enroth	14	
251		
252		
253		
254		
255		
256		
257		
258		
259		
260		
261		
262		
263		
264		
265		
266		
267		
268		
269		
270		
271		
272		
273		
274		
275		
276	Promoted to Master Courier	4
277	Declared Heroes of Erathia	2
278	Completed Coding Wizard Quest	2
279	Declared the Queen’s Champions	2
280	Retrieved Control Cube	2
281	Completed the MM7Rev4mod Game!!	1
282	Inducted into the Erathian Hall of Shame!	1
283	Proclaimed Friend of Hothfarr, King of Dwarves and Savior of Stone City	1
284	Reopened Harmondale Stables	1
285	Declared Friends of ‘The Game’	1
286	Hall of Shame Award ‘Unfaithful Friends’	1
287	Recovered the Lost Scroll of  Wonka	1
288	Recovered the Lost Scroll of  Wonka	3
289	Found Paradise!!	2
290	Completed Courier Quest	3
291	Inducted into the Erathian Hall of Shame!	3
292	Completed MM7Rev4mod Game!!	1
293	Re-opened the Harmondale Stables	1
